Latitude, Longitude
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646823,-97.521255
35.646827,-97.521255
35.646827,-97.521255
35.646827,-97.521255
35.646827,-97.521255
35.646827,-97.521255
35.646827,-97.521255
35.646827,-97.521255
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646827,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646831,-97.521247
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646835,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646831,-97.521240
35.646827,-97.521240
35.646827,-97.521240
35.646827,-97.521240
35.646827,-97.521240
35.646827,-97.521240
35.646827,-97.521240
35.646827,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646823,-97.521240
35.646820,-97.521240
35.646820,-97.521240
35.646820,-97.521240
35.646820,-97.521240
35.646820,-97.521240
35.646820,-97.521240
35.646820,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646816,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521240
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646812,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646808,-97.521232
35.646804,-97.521232
35.646804,-97.521232
35.646804,-97.521232
35.646804,-97.521232
35.646804,-97.521232
35.646804,-97.521232
35.646804,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646800,-97.521232
35.646797,-97.521232
35.646797,-97.521232
35.646797,-97.521232
35.646797,-97.521232
35.646797,-97.521232
35.646797,-97.521232
35.646797,-97.521232
35.646797,-97.521232
35.646797,-97.521232
