lat, lon,theta,x,y,psi,vel,psi_dot,??,???
35.1949652451,-97.4389356836333.73914919,8.61025231362,-25.2727642062,-128667.038107,-0.0045478017248,662.564752124,54983.7848388,-54979.5837797,-0.711109012305
35.1949653923,-97.4389344072346.293753951,8.95943968335,-25.3980178975,-128841.925953,-0.00217798383022,351.90979662,55076.0835273,-55072.0910993,-0.3437412354
35.1949654017,-97.4389343078122.437329115,9.17809810922,-27.0879068034,-129274.491396,0.0190666830355,3670.74721221,55179.6920735,-55175.5924575,4.50860808919
35.1949694227,-97.438934299811.0392422124,14.7760213778,-23.4566297051,-132571.941107,0.00542380275943,9677.74672079,56754.5646708,-56749.0095141,0.504767738397
35.1949699703,-97.438934300713.520074645,20.3037793035,-13.4445718344,-135968.923363,0.000117250906573,5179.78445595,58436.7420489,-58431.1026446,0.00241603410423
35.1949727897,-97.438936580418.1760210213,24.6096040876,-15.1276910183,-139550.292462,2.49738796796E-06,9008.24052399,60208.68989,-60203.0486783,9.33825477812E-06
35.1949729886,-97.438939731621.5437139966,28.5605155597,-18.4218017935,-142994.125731,0.00171732773982,8432.41180862,61912.8640334,-61907.1134552,0.267941654036
35.1949766026,-97.438947191423.9549485724,31.8369587906,-13.810244644,-146223.38818,3.90379797129E-05,5100.47582282,63509.102356,-63503.3242532,0.0014171505259
35.1949776102,-97.438955134927.6308831353,33.6097044014,-27.672799444,-149691.175104,5.2770383134E-05,8893.53579142,65226.0657919,-65220.2583217,0.00267418900138
35.1949798763,-97.438961542330.981180971,32.0223561285,-35.7356628468,-152977.980793,1.1244354747E-06,9493.42072808,66851.7909885,-66845.9827048,1.2097792349E-05
35.1949799936,-97.438967330532.7856246252,22.2923924372,-43.7985400078,-156273.819794,2.39478640871E-08,9400.2820144,68479.7704887,-68473.9621876,1.44158443524E-07
35.194984172,-97.438976193435.8782886084,20.8087650831,-36.3161534457,-159617.705857,5.10507796881E-10,8104.85627779,70134.98492,-70129.1766186,9.07580663166E-08
35.1949843882,-97.438985057439.8249768168,31.935186785,-46.7925262245,-162795.166744,9.96528276077E-12,9124.0633219,71704.5071496,-71698.6988481,9.05195112204E-08
35.1949897095,-97.438994112541.3799009667,40.4213810352,-43.7285382671,-166068.811263,5.07337093231E-05,7967.44233817,73323.3365158,-73317.5002474,0.0035764195693
35.194989985,-97.439004895744.5171395509,38.2268108914,-43.1189951897,-169194.469535,1.08132427296E-06,8751.83787573,74869.4553504,-74863.6182997,1.92499214817E-05
35.1949919027,-97.43901744345.8910746486,34.300678539,-44.7591700113,-172155.289652,0.00150327240349,6641.59626542,76334.7344262,-76328.8663047,0.413759812621
35.1949920883,-97.439027134248.4726442051,30.2905852613,-46.0369183826,-175538.04331,0.00166662031374,7725.81882431,78008.0388529,-78001.9624911,0.266497939933
35.1949947371,-97.439039872949.7047802563,41.8874140819,-43.059847857,-178689.234759,4.14336494395E-05,7153.13108798,79568.3324831,-79562.2267552,0.00160184021199
35.1949958404,-97.439055613850.5147067541,45.3181802973,-42.7399018567,-181592.473823,0.000492139650076,5244.42853263,81003.2086937,-80997.0731354,0.0631762559648
35.194995897,-97.439066007452.4311862357,46.708504833,-48.4854978984,-184743.737189,1.06535019769E-05,9837.09847835,82562.3014314,-82556.1581904,0.000301266679272
35.1949997877,-97.43908239552.5634572646,47.137983944,-44.5314167038,-187955.815632,2.26889949078E-07,7691.10253057,84149.9232713,-84143.779866,2.27513317898E-06
35.194999989,-97.439094396453.4749900423,58.6124272692,-33.9699316873,-191037.868005,4.8323533952E-09,7712.54047808,85675.506561,-85669.3631522,9.39450534744E-07
35.1950027033,-97.439106776854.0278620866,73.1983792117,-39.8462472323,-193861.908568,1.03671486423E-10,6477.10182601,87070.6108497,-87064.4674409,9.33483649896E-07
35.1950034588,-97.439122650655.3220135045,72.5447711548,-37.4858224528,-197168.286295,1.83796275369E-12,7614.50227896,88707.0242961,-88700.8808873,9.33456994077E-07
35.1950034979,-97.439135718956.4470772755,68.2674868904,-41.5952129566,-200203.230709,1.83119084919E-12,7831.93781516,90206.2655905,-90200.1221817,9.33456874998E-07
35.1950068218,-97.439151956457.6595504076,61.8861134401,-46.4723345556,-203173.637258,1.7886295763E-12,9076.54424351,91675.7283198,-91669.584911,9.33456874466E-07
35.1950072752,-97.439164500358.1318592499,49.0845432227,-61.4942813238,-206293.359184,-0.000644790368177,7510.80897531,93218.1156277,-93211.9769862,-0.155888004979
35.1950072992,-97.439181166759.4808916604,51.201089936,-64.1516993658,-209308.132901,-0.00063835452102,7572.50804011,94707.8215134,-94701.7657504,-0.110839157975
35.1950098612,-97.439194316561.4482884709,41.6487373526,-71.5964386926,-212285.327279,-0.00123954713665,8192.90127053,96182.3242681,-96176.360498,-0.114582352208
35.195009992,-97.439211885963.2048669228,46.4954193789,-70.8788322817,-215311.729925,-0.000433466670945,7400.84273858,97679.8456988,-97673.9467685,-0.0519520254732
35.1950100025,-97.439224720766.2467936056,42.8370271496,-65.8977682039,-218217.480082,-0.00815311159756,8457.08120074,99117.1656271,-99111.4437093,-1.69198450306
35.1950134708,-97.439239054470.1150898341,40.4324378584,-54.3406210745,-221197.444292,-0.00072855365519,7310.68964718,100592.800664,-100587.337342,-0.0658880179717
