id, lat, lon, theta, x, y, psi, vel, psi_dot, left_v, right_v, accel
0,35.1929253732,-97.4242145263,-5.13760245375e-34,1.1265955958e-12,-9.60140550349e-44,-8.06752008212e-34,1.08502283862e-12,-4.36659272653e-32,4.35542591631e-16,4.35542591631e-16,0.0,
1,35.1948115102,-97.437845706,1.37074046901e-34,1.12764824781e-12,-9.60817727315e-44,-1.28901022977e-34,5.41866775612e-14,1.37271597559e-33,1.54608238284e-17,1.54608238284e-17,0.0,
2,35.1948713484,-97.43859451,2.6647014543e-36,1.12769017398e-12,-9.60839301606e-44,1.14577109058e-36,5.10799329486e-15,9.72232598695e-35,1.17800759023e-18,1.17800759023e-18,0.0,
3,35.1948585179,-97.4386433383,-9.38808953975e-36,1.12767833249e-12,-9.60834627078e-44,7.12626328457e-36,-9.20322261025e-15,-3.47150346554e-34,-1.80919605412e-18,-1.80919605412e-18,0.0,
4,35.1948711984,-97.4386461933,6.66828406977e-36,1.1276903687e-12,-9.60839163871e-44,-7.07973778856e-36,-1.49819040069e-14,2.82049405672e-34,-2.27226364119e-18,-2.27226364119e-18,0.0,
5,35.1948700015,-97.4386296876,-2.70933018556e-36,1.12768890794e-12,-9.60838730694e-44,1.2261119608e-36,6.63420758475e-15,-4.85951382563e-35,8.82910168683e-19,8.82910168683e-19,0.0,
6,35.1948543882,-97.4386295121,6.44499506119e-36,1.12766835144e-12,-9.60833147566e-44,-5.3175955326e-36,-2.65463143836e-14,4.4931221781e-34,-3.1275988013e-18,-3.1275988013e-18,0.0,
7,35.194867617,-97.4386437248,-1.52200171769e-35,1.12768727727e-12,-9.60837961848e-44,1.65220648846e-35,-1.63854413127e-14,-4.58742471226e-34,-1.72819174243e-18,-1.72819174243e-18,0.0,
8,35.1948550337,-97.4386189486,-4.27482868301e-37,1.1276668156e-12,-9.60833420616e-44,3.96397115509e-38,-3.9662596901e-16,4.57206367866e-36,-3.77802127442e-20,-3.77802127442e-20,0.0,
9,35.1948613475,-97.4386249594,-1.80173573606e-36,1.12767758107e-12,-9.60835846252e-44,1.79994757647e-36,-1.66047029957e-15,4.80631844087e-36,-1.44556841967e-19,-1.44556841967e-19,0.0,
10,35.1948601445,-97.4386468921,3.00291917033e-36,1.1276748093e-12,-9.60835304803e-44,-2.2636978667e-36,-9.44282246649e-15,6.67509400836e-35,-7.55562984321e-19,-7.55562984321e-19,0.0,
11,35.194872089,-97.4386371462,6.04359294665e-36,1.12769892292e-12,-9.60839621449e-44,-4.21142910518e-36,-2.78939425052e-14,2.06077986874e-34,-2.0493094452e-18,-2.0493094452e-18,0.0,
12,35.1948649447,-97.4386221799,5.03108931848e-36,1.12768375611e-12,-9.60837020235e-44,-2.4520784424e-36,2.45226999691e-14,3.75296699891e-35,1.67556571345e-18,1.67556571345e-18,0.0,
13,35.1948749642,-97.4386156542,7.54962521449e-38,1.12770839942e-12,-9.60840589943e-44,-2.5645369541e-36,1.0808017279e-14,7.72620859558e-36,6.94075308986e-19,6.94075308986e-19,0.0,
14,35.1948686498,-97.4386259814,1.95552635382e-36,1.12769319577e-12,-9.6083837357e-44,-4.36780118816e-36,-5.05656020942e-14,-6.69792966957e-35,-3.07567056619e-18,-3.07567056619e-18,0.0,
15,35.1948811917,-97.4386292352,1.78772461617e-35,1.12772866703e-12,-9.60842885084e-44,-2.35413814348e-35,6.52694825363e-14,3.71579228151e-34,3.70890944704e-18,3.70890944704e-18,0.0,
16,35.1948590314,-97.4386367268,-8.25693765206e-36,1.12766692192e-12,-9.60834917361e-44,7.03634771044e-36,-5.27718718916e-14,-1.86747466068e-34,-2.89838041509e-18,-2.89838041509e-18,0.0,
17,35.1948682629,-97.4386459563,2.39689767125e-36,1.12769422208e-12,-9.60838333053e-44,-3.42920226358e-36,-1.15235690299e-13,-3.13338787251e-39,-5.92705126414e-18,-5.92705126414e-18,0.0,
18,35.194870642,-97.4386335612,2.57101685642e-36,1.12770354424e-12,-9.60839220001e-44,-1.41679475322e-36,4.91620832309e-14,-2.63914243758e-35,2.38292199235e-18,2.38292199235e-18,0.0,
19,35.194870244,-97.4386429729,-5.11671511912e-37,1.12770211501e-12,-9.60839097447e-44,3.02145106329e-37,9.56202571004e-15,2.44660352757e-35,4.42505404369e-19,4.42505404369e-19,0.0,
20,35.1948763616,-97.4386335332,-4.46381402705e-36,1.12772459566e-12,-9.60841398993e-44,8.24177630375e-36,-7.39792695002e-14,5.02616056517e-39,-3.26886757808e-18,-3.26886757808e-18,0.0,
21,35.1948520489,-97.4386177939,3.42786434871e-36,1.12763855039e-12,-9.60832669717e-44,-4.8323489523e-36,-4.6067489227e-14,1.95894900499e-34,-1.9576267672e-18,-1.9576267672e-18,0.0,
22,35.1948727406,-97.4386309184,-2.33369800862e-36,1.12771437092e-12,-9.60840093285e-44,2.24826155534e-37,9.01469485114e-14,-1.61165381831e-34,3.67585187374e-18,3.67585187374e-18,0.0,
23,35.1948751792,-97.4386333843,-3.86687144453e-36,1.12772249547e-12,-9.60840981362e-44,8.64177269924e-36,-4.3210868498e-14,-7.48477362872e-35,-1.68869151419e-18,-1.68869151419e-18,0.0,
24,35.194875415,-97.4386388324,9.95148280318e-37,1.12772391793e-12,-9.6084105573e-44,-5.20847512568e-36,1.15561646402e-13,5.08183056671e-40,4.34659904911e-18,4.34659904911e-18,0.0,
25,35.1948630501,-97.4386229891,2.43712958452e-36,1.12767332966e-12,-9.60836647105e-44,-3.1368301776e-36,2.98084635269e-14,1.19561860133e-35,1.08425061449e-18,1.08425061449e-18,0.0,
26,35.1948834677,-97.4385779753,2.16384597649e-35,1.1277622126e-12,-9.60844041127e-44,-1.85155179263e-35,6.59895979637e-14,4.60523184533e-34,2.30541742619e-18,2.30541742619e-18,0.0,
27,35.1948672074,-97.4386320036,3.2388284543e-36,1.12769100517e-12,-9.60838033772e-44,-1.55545660394e-36,4.11598206232e-14,6.18161931077e-35,1.39350897322e-18,1.39350897322e-18,0.0,
28,35.1948766771,-97.4386323342,1.47811995595e-35,1.12773351753e-12,-9.60841390843e-44,-1.30580091927e-35,9.79718940278e-14,2.48689611875e-34,3.19535314582e-18,3.19535314582e-18,0.0,
29,35.1948594743,-97.4386096292,-1.61295171629e-36,1.12765308702e-12,-9.60835173404e-44,2.49768970282e-36,2.62717003534e-14,1.81680908474e-35,8.4579348547e-19,8.4579348547e-19,0.0,
30,35.1948638547,-97.4386286002,-2.76431107334e-36,1.12767391721e-12,-9.60836748193e-44,5.32002755652e-36,-3.66719010119e-14,-1.61934026772e-34,-1.12533476883e-18,-1.12533476883e-18,0.0,
31,35.1948782098,-97.4386284493,-4.91324132036e-36,1.12774517064e-12,-9.60841914925e-44,6.481640836e-36,6.60449901143e-14,-2.38903764707e-34,1.95802434295e-18,1.95802434295e-18,0.0,
32,35.1948590644,-97.4386250237,5.31353953743e-09,3.03866849495e-10,-2.34518250726e-21,-1.45409462332e-10,2.7100750103e-09,2.97081028017e-09,4.02977969623e-08,3.05128038761e-09,-4.25022139866e-07,
33,35.1948703442,-97.4386135423,1.33776295854e-08,6.2969471349e-10,-9.63139152097e-21,-3.45600827475e-11,5.33641472175e-10,5.84941357269e-10,7.93377108773e-09,6.00553861705e-10,-1.4651954552e-07,
34,35.1948779736,-97.4386424335,0.00334447503637,0.00449232109625,-1.0320293008e-05,-0.00334444663047,0.0703018016569,-0.014974231296,0.570193347798,0.554304557443,17.0367625782,
35,35.1948675856,-97.4386108252,0.00735616737767,0.0255712452523,-0.000136434009974,-0.00735577955948,0.133813228326,-0.0021273653477,1.07132119363,1.0690605814,2.90941468121,
36,35.1948599615,-97.4386426477,0.00792535678726,0.0530256813088,-0.000346930732126,-0.00792502256732,0.141905899832,-0.000496093296067,1.13517481724,1.13465160851,0.730389611604,
37,35.1948721044,-97.4386543547,0.00808616827095,0.0816146097068,-0.000576396413402,-0.00808606580539,0.14393708787,-8.05391338792e-05,1.15120190935,1.15111396284,0.11392360977,
38,35.1948864431,-97.4386593675,0.0081084105974,0.11045086665,-0.000809954189809,-0.00810797849829,0.144214440055,-2.9051041036e-05,1.1533900132,1.1533621895,0.0286975660384,
39,35.1948632774,-97.4386334436,0.00811438632464,0.139304833612,-0.00104400147466,-0.00811380373139,0.144326695599,-5.95788618886e-06,1.15427573611,1.15427202581,0.00581534006222,
40,35.1948669847,-97.4386244027,0.0081156643558,0.16814918314,-0.00127806517934,-0.00811465379891,0.144341641325,7.07295268893e-08,1.15439385607,1.15439296926,0.000885965897512,
41,35.1948785657,-97.4386058762,0.00811584921754,0.197051583888,-0.00151260325869,-0.00811465259326,0.144344591193,1.41457761671e-08,1.15441709227,1.15441691491,0.000175174717072,
42,35.194891615,-97.4386330066,0.00811587095025,0.226373716766,-0.00175054738452,-0.00811465185167,0.144345189739,4.85658410905e-14,1.15442179109,1.15442179109,3.03854799103e-05,
43,35.1948783945,-97.4386441125,0.00811587106967,0.254794239322,-0.00198117509237,-0.00811465184149,0.144345284379,8.48221314492e-17,1.15442254798,1.15442254798,1.30768189078e-05,
44,35.1948802474,-97.4386304718,0.00811587106991,0.283625834199,-0.00221513858217,-0.00811465184147,0.144345284379,3.19640406638e-18,1.15442254798,1.15442254798,3.19093408118e-06,
45,35.1948858119,-97.4386138138,0.00811587106991,0.312537948167,-0.00244975547069,-0.00811465184147,0.144345284379,6.05493049622e-18,1.15442254798,1.15442254798,3.15094128269e-06,
46,35.194890675,-97.4385981326,0.00811587106991,0.341333811999,-0.00268342900913,-0.00811465184147,0.144345284379,-3.03468265264e-18,1.15442254798,1.15442254798,3.15086201507e-06,
47,35.1948809325,-97.4386257689,0.00811587106991,0.37016442378,-0.00291738452126,-0.00811465184147,0.144345284379,-3.02759756761e-18,1.15442254798,1.15442254798,3.15086185796e-06,
48,35.1948895032,-97.4386099843,0.00811587106991,0.399087272925,-0.00315208852392,-0.00811465184147,0.144345284379,-8.26763119376e-22,1.15442254798,1.15442254798,3.15086185765e-06,
49,35.1948998257,-97.4386361938,0.00811587106991,0.427918834106,-0.00338605174028,-0.00811465184147,0.144345284379,4.10288778705e-21,1.15442254798,1.15442254798,3.15086185765e-06,
50,35.1949011868,-97.4386198096,0.00811587106991,0.45685776651,-0.00362088625585,-0.00811465184147,0.144345284379,-3.0280985808e-18,1.15442254798,1.15442254798,3.15086185765e-06,
51,35.194900351,-97.4386288681,0.00811587106991,0.485710815134,-0.00385502383915,-0.00811465184147,0.144345284379,-3.02820159217e-18,1.15442254798,1.15442254798,3.15086185765e-06,
52,35.1948875413,-97.4386310949,0.00811587106991,0.514613135625,-0.00408956125528,-0.00811465184147,0.144345284379,3.03291697949e-18,1.15442254798,1.15442254798,3.15086185765e-06,
53,35.1948904995,-97.4386190305,0.00811587106991,0.543399275406,-0.0043231558847,-0.00811465184147,0.144345284379,-4.02477706965e-21,1.15442254798,1.15442254798,3.15086185765e-06,
54,35.1948989775,-97.4386266075,0.00811587106991,0.572337510248,-0.00455798473968,-0.00811465184147,0.144345284379,-3.02721312777e-18,1.15442254798,1.15442254798,3.15086185765e-06,
